code,name
13,National Capital Region (NCR)
14,Cordillera Administrative Region (CAR)
10,Region I (Ilocos Region)
20,Region II (Cagayan Valley)
30,Region III (Central Luzon)
40,Region IV-A (CALABARZON)
17,MIMAROPA Region
50,Region V (Bicol Region)
60,Region VI (Western Visayas)
70,Region VII (Central Visayas)
80,Region VIII (Eastern Visayas)
90,Region IX (Zamboanga Peninsula)
10,Region X (Northern Mindanao)
11,Region XI (Davao Region)
12,Region XII (SOCCSKSARGEN)
16,Region XIII (Caraga)
15,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM)
