code,title,minor_code
1111,Legislators,111
1112,Senior Government Officials,111
1113,Traditional Chiefs And Heads Of Villages,111
1114,Senior Officials Of Special-Interest Organizations,111
1120,Managing Directors And Chief Executives,112
1211,Finance Managers,121
1212,Human Resource Managers,121
1213,Policy And Planning Managers,121
1219,Business Services And Administration Managers Not Elsewhere  Classified,121
1221,Sales And Marketing Managers,122
1222,Advertising And Public Relations Managers,122
1223,Research And Development Managers,122
1311,Agricultural And Forestry Production Managers,131
1312,Aquaculture And Fisheries Production Managers,131
1321,Manufacturing Managers,132
1322,Mining Managers,132
1323,Construction Managers,132
1324,"Supply, Distribution And Related Managers",132
1330,Information And Communications Technology Service Managers,133
1341,Child Care Service Managers,134
1342,Health Service Managers,134
1343,Aged Care Service Managers,134
1344,Social Welfare Managers,134
1345,Education Managers,134
1346,Financial And Insurance Services Branch Managers,134
1349,Professional Services Managers Not Elsewhere Classified,134
1411,Hotel Managers,141
1412,Restaurant Managers,141
1420,Retail And Wholesale Trade Managers,142
1431,"Sports, Recreation And Cultural Centre Managers",143
1439,Services Managers Not Elsewhere Classified,143
2111,Physicists And Astronomers,211
2112,Meteorologists,211
2113,Chemists,211
2114,Geologists And Geophysicists,211
2119,Other Physical And Earth Science Professionals,211
2121,Mathematicians,212
2122,Statisticians,212
2123,Actuaries,212
2124,Data Scientist,212
2131,"Biologists, Botanists, Zoologists And Related Scientists",213
2132,"Farming, Forestry And Fisheries Advisers",213
2133,Environmental Protection Professionals,213
2141,Industrial And Production Engineers,214
2142,Civil Engineers,214
2143,Environmental Engineers,214
2144,Mechanical Engineers,214
2145,Chemical Engineers,214
2146,"Mining Engineers, Metallurgists And Related Professionals",214
2149,Engineering Professionals Not Elsewhere Classified,214
2151,Electrical Engineers,215
2152,Electronics Engineers,215
2153,Telecommunications Engineers,215
2161,Building Architects,216
2162,Landscape Architects,216
2163,Product And Garment Designers,216
2164,Town And Traffic Planners,216
2165,Cartographer And Surveyors,216
2166,Graphic And Multimedia Designers,216
2211,Generalist Medical Practioners,221
2212,Specialist Medical Practitioners,221
2221,Nursing Professionals,222
2222,Midwifery Professionals,222
2230,Traditional And Complementary Medicine Professionals,223
2240,Paramedical Practitioners,224
2250,Veterinarians,225
2261,Dentists,226
2262,Pharmacists,226
2263,Environmental And Occupational Health And Hygiene Professionals,226
2264,Physiotherapist,226
2265,Dieticians And Nutritionist,226
2266,Audiologists And Speech Therapist,226
2267,Optometrists And Opthalmic Opticians,226
2269,Health Professionals Not Elsewhere Classified,226
2310,University And Higher Education Teachers,231
2320,Vocational Education Teachers,232
2330,Secondary Education Teachers,233
2341,Primary School Teachers,234
2342,Early Chilhood Educators,234
2351,Education Methods Specialists,235
2352,Special Need Teachers,235
2353,Other Language Teachers,235
2354,Other Music Teachers,235
2355,Other Arts Teachers,235
2356,Information Technology Trainers,235
2359,Teaching Professionals Not Elsewhere Classified,235
2411,Accountants,241
2412,Financial And Investment Advisers,241
2413,Financial Analyst,241
2421,Management And Organization Analyst,242
2422,Policy Administration Professionals,242
2423,Personnel And Careers Professionals,242
2424,Training And Staff Development Professionals,242
2431,Advertising And Marketing Professionals,243
2432,Public Relations Professionals,243
2433,Technical And Medical Sale Professionals (Excluding Ict),243
2434,Information And Communications Technology Sale Professionals,243
2511,Systems Analysts,251
2512,Software Developers,251
2513,Web And Multimedia Developers,251
2514,Applications Programmers,251
2519,Software And Applications Developers And Analyst Not Elsewhere Classified,251
2521,Database Designers And Administrators,252
2522,Systems Administrators,252
2523,Computer Network Professionals,252
2529,Database And Network Professionals Not Elsewhere Classified,252
2611,Lawyers,261
2612,Judges,261
2619,Legal Professionals Not Elsewhere Classified,261
2621,Archivists And Curators,262
2622,Librarians And Related Information Professionals,262
2631,Economists,263
2632,"Sociologists, Anthropologists And Related Professionals",263
2633,"Philosophers, Historians And Political Scientists",263
2634,Psychologists,263
2635,Social Work And Counselling Professionals,263
2636,Religious Professionals,263
2641,Authors And Related Writers,264
2642,Journalists,264
2643,"Translators, Interpreters And Other Linguists",264
2651,Visual Artists,265
2652,"Musicians, Singers And Composers",265
2653,Dancers And Choreographers,265
2654,"Film, Stage And Related Directors And Producers",265
2655,Actors,265
2656,"Announcers On Radio, Television And Other Media",265
2659,Creative And Performing Artists Not Elsewhere Classified,265
3111,Chemical And Physical Science Technicians,311
3112,Civil Engineering Technicians,311
3113,Electrical Engineering Technicians,311
3114,Electronics Engineering Technicians,311
3115,Mechanical Engineering Technicians,311
3116,Chemical Engineering Technicians,311
3117,Mining And Metallurgical Technicians,311
3118,Draftsmen,311
3119,Physical And Engineering Science Technicians Not Elsewhere Classified,311
3121,Mining Supervisors,312
3122,Manufacturing Supervisors,312
3123,Construction Supervisors,312
3131,Power Production Plant Operators,313
3132,Incinerator And Water Treatment Plant Operators,313
3133,Chemical Processing Plant Controllers,313
3134,Petroleum And Natural Gas Refining Plant Operators,313
3135,Metal Production Process Controllers,313
3139,Process Control Technicians Not Elsewhere Classified,313
3141,Life Science Technicians (Excluding Medical),314
3142,Agricultural Technicians,314
3143,Forestry Technicians,314
3151,Ships' Engineer,315
3152,Ships' Deck Officers And Pilots,315
3153,Aircraft Pilots And Related Associate Professionals,315
3154,Air Traffic Controllers,315
3155,Air Traffic Safety Electronics Technicians,315
3211,Medical Imaging And Therapeutic Equipment Technicians,321
3212,Medical And Pathology Laboratory Technicians,321
3213,Pharmaceutical Technicians And Assistants,321
3214,Medical And Dental Prosthetic Technicians,321
3221,Nursing Associate Professionals,322
3222,Midwifery Associate Professionals,322
3230,Traditional And Complementary Medicine Associate Professionals,323
3240,Veterinary Technicians And Assistants,324
3251,Dental Assistants And Therapists,325
3252,Medical Records And Health Information Technicians,325
3253,Community Health Workers,325
3254,Dispensing Opticians,325
3255,Physiotherapy Technicians And Assistants,325
3256,Medical Assistants,325
3257,Environmental And Occupational Health Inspectors And Associates,325
3258,Ambulance Workers,325
3259,Health Associate Professionals Not Elsewhere Classified,325
3311,Securities And Finance Dealers And Brokers,331
3312,Credit And Loans Officers,331
3313,Accounting Associate Professionals,331
3314,"Statistical, Mathematical And Related Associate Professionals",331
3315,Valuers And Loss Assessors,331
3321,Insurance Representatives,332
3322,Commercial Sales Representatives,332
3323,Buyers,332
3324,Trade Brokers,332
