code,name,province_code,type,is_independent
012801,Adams,0128,municipality,False
012802,Bacarra,0128,municipality,False
012803,Badoc,0128,municipality,False
012804,Bangui,0128,municipality,False
012805,City of Batac,0128,component city,False
012806,Burgos,0128,municipality,False
012807,Carasi,0128,municipality,False
012808,Currimao,0128,municipality,False
012809,Dingras,0128,municipality,False
012810,Dumalneg,0128,municipality,False
012811,Banna,0128,municipality,False
012812,City of Laoag,0128,component city,False
012813,Marcos,0128,municipality,False
012814,Nueva Era,0128,municipality,False
012815,Pagudpud,0128,municipality,False
012816,Paoay,0128,municipality,False
012817,Pasuquin,0128,municipality,False
012818,Piddig,0128,municipality,False
012819,Pinili,0128,municipality,False
012820,San Nicolas,0128,municipality,False
012821,Sarrat,0128,municipality,False
012822,Solsona,0128,municipality,False
012823,Vintar,0128,municipality,False
012901,Alilem,0129,municipality,False
012902,Banayoyo,0129,municipality,False
012903,Bantay,0129,municipality,False
012904,Burgos,0129,municipality,False
012905,Cabugao,0129,municipality,False
012906,City of Candon,0129,component city,False
012907,Caoayan,0129,municipality,False
012908,Cervantes,0129,municipality,False
012909,Galimuyod,0129,municipality,False
012910,Gregorio del Pilar,0129,municipality,False
012911,Lidlidda,0129,municipality,False
012912,Magsingal,0129,municipality,False
012913,Nagbukel,0129,municipality,False
012914,Narvacan,0129,municipality,False
012915,Quirino,0129,municipality,False
012916,Salcedo,0129,municipality,False
012917,San Emilio,0129,municipality,False
012918,San Esteban,0129,municipality,False
012919,San Ildefonso,0129,municipality,False
012920,San Juan,0129,municipality,False
012921,San Vicente,0129,municipality,False
012922,Santa,0129,municipality,False
012923,Santa Catalina,0129,municipality,False
012924,Santa Cruz,0129,municipality,False
012925,Santa Lucia,0129,municipality,False
012926,Santa Maria,0129,municipality,False
012927,Santiago,0129,municipality,False
012928,Santo Domingo,0129,municipality,False
012929,Sigay,0129,municipality,False
012930,Sinait,0129,municipality,False
012931,Sugpon,0129,municipality,False
012932,Suyo,0129,municipality,False
012933,Tagudin,0129,municipality,False
012934,City of Vigan,0129,component city,False
013301,Agoo,0133,municipality,False
013302,Aringay,0133,municipality,False
013303,Bacnotan,0133,municipality,False
013304,Bagulin,0133,municipality,False
013305,Balaoan,0133,municipality,False
013306,Bangar,0133,municipality,False
013307,Bauang,0133,municipality,False
013308,Burgos,0133,municipality,False
013309,Caba,0133,municipality,False
013310,Luna,0133,municipality,False
013311,Naguilian,0133,municipality,False
013312,Pugo,0133,municipality,False
013313,Rosario,0133,municipality,False
013314,City of San Fernando,0133,component city,False
013315,San Gabriel,0133,municipality,False
013316,San Juan,0133,municipality,False
013317,Santo Tomas,0133,municipality,False
013318,Santol,0133,municipality,False
013319,Sudipen,0133,municipality,False
013320,Tubao,0133,municipality,False
015501,Agno,0155,municipality,False
015502,Aguilar,0155,municipality,False
015503,City of Alaminos,0155,component city,False
015504,Alcala,0155,municipality,False
015505,Anda,0155,municipality,False
015506,Asingan,0155,municipality,False
015507,Balungao,0155,municipality,False
015508,Bani,0155,municipality,False
015509,Basista,0155,municipality,False
015510,Bautista,0155,municipality,False
015511,Bayambang,0155,municipality,False
015512,Binalonan,0155,municipality,False
015513,Binmaley,0155,municipality,False
015514,Bolinao,0155,municipality,False
