,,,,,,,,,,
,, REPUBLIC OF THE PHILIPPINES,,,,,,,,
,,PHILIPPINE STATISTICS AUTHORITY,,,,,,,,
,,,,,,,,,,
NATIONAL SUMMARY,,,,,,,,,,
"NUMBER OF PROVINCES, CITIES",,,,,,,,,,
"MUNICIPALITIES AND BARANGAYS, BY REGION",,,,,,,,,,
As of 30 June 2025,,,,,,,,,,
,,,,,,,,,,
CODE,,REGION,PROV.,CITIES,MUN.,BGY.,"POPULATION
(2020 CPH)",,,
,,PHILIPPINES,82,149,"1,493"," 42,011 ","109,035,343",a,,
1300000000,,National Capital Region (NCR), -   ,16,1," 1,715 "," 13,484,462 ",,,
1400000000,,Cordillera Administrative Region (CAR),6,2,75," 1,178 "," 1,797,660 ",,,
0100000000,,Region I (Ilocos Region),4,9,116," 3,267 "," 5,301,139 ",,,
0200000000,,Region II (Cagayan Valley),5,4,89," 2,311 "," 3,685,744 ",,,
0300000000,,Region III (Central Luzon),7,15,115," 3,105 "," 12,422,172 ",,,
0400000000,,Region IV-A (CALABARZON),5,22,120," 3,993 "," 16,195,042 ",,,
1700000000,,MIMAROPA Region,5,2,71," 1,460 "," 3,228,558 ",,,
0500000000,,Region V (Bicol Region),6,7,107," 3,471 "," 6,082,165 ",,,
0600000000,,Region VI (Western Visayas),5,3,98," 3,389 "," 4,730,768 ",b,,
1800000000,,Negros Island Region (NIR),3,19,44," 1,353 "," 4,760,340 ",c,,
0700000000,,Region VII (Central Visayas),2,10,91," 2,312 "," 6,545,603 ",d,,
0800000000,,Region VIII (Eastern Visayas),6,7,136," 4,365 "," 4,547,150 ",,,
0900000000,,Region IX (Zamboanga Peninsula),3,5,67," 1,904 "," 3,875,576 ",,,
1000000000,,Region X (Northern Mindanao),5,9,84," 2,022 "," 5,022,768 ",,,
1100000000,,Region XI (Davao Region),5,6,43," 1,162 "," 5,243,536 ",,,
1200000000,,Region XII (SOCCSKSARGEN),4,4,45," 1,097 "," 4,360,974 ",e,,
1600000000,,Region XIII (Caraga),5,6,67," 1,312 "," 2,804,788 ",,,
1900000000,,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),6,3,124," 2,595 "," 4,944,800 ",f,,
a,"Population counts for the regions do not add up to the national total.  Includes 2,098 Filipinos in Philippine Embassies, Consulates and Mission Abroad.",,,,,,,,,
b,Excluding the population count of Negros Occidental and City of Bacolod,,,,,,,,,
c,"Including the population count of Negros Occidental, Negros Oriental, Siquijor, and City of Bacolod",,,,,,,,,
d,Excluding the population count of Negros Oriental and Siquijor,,,,,,,,,
e,"Excluding the population counts of City of Cotabato and the Special Geographic Area of BARMM, which is composed of 63 barangays from Cotabato province that opted to join the BARMM",,,,,,,,,
f,"Including the population counts of City of Cotabato and the Special Geographic Area of BARMM, which is composed of 63 barangays from Cotabato province that opted to join the BARMM",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
