,,,,,,,,,,,,,,,,,,,,,,,,,
 REPUBLIC OF THE PHILIPPINES,,,,,,,,,,,,,,,,,,,,,,,,,
PHILIPPINE STATISTICS AUTHORITY,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
P R O V I N C I A L    S U M M A R Y,,,,,,,,,,,,,,,,,,,,,,,,,
"NUMBER OF PROVINCES, CITIES",,,,,,,,,,,,,,,,,,,,,,,,,
"MUNICIPALITIES AND BARANGAYS, BY REGION",,,,,,,,,,,,,,,,,,,,,,,,,
As of 30 June 2020,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
CODE,NAME,PROV.,CITIES,MUN.,BGY.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,PHILIPPINES,81,146,"1,488","42,046",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
130000000,NATIONAL  CAPITAL  REGION (NCR),-,16,1,"1,710",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
133900000,"FIRST DISTRICT, City of Manila",-,1,-,897,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
137400000,SECOND DISTRICT,-,4,-,236,,,,,,,,,,,,,,,,,,,,
137401000,City of Mandaluyong,-,1,-,27,,,,,,,,,,,,,,,,,,,,
137402000,City of Marikina,-,1,-,16,,,,,,,,,,,,,,,,,,,,
137403000,City of Pasig,-,1,-,30,,,,,,,,,,,,,,,,,,,,
137404000,Quezon City,-,1,-,142,,,,,,,,,,,,,,,,,,,,
137405000,City of San Juan,-,1,-,21,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
137500000,THIRD DISTRICT,-,4,-,260,,,,,,,,,,,,,,,,,,,,
137501000,Caloocan City,-,1,-,188,,,,,,,,,,,,,,,,,,,,
137502000,City of Malabon,-,1,-,21,,,,,,,,,,,,,,,,,,,,
137503000,City of Navotas,-,1,-,18,,,,,,,,,,,,,,,,,,,,
137504000,City of Valenzuela,-,1,-,33,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
137600000,FOURTH DISTRICT,-,5,-,317,,,,,,,,,,,,,,,,,,,,
137601000,City of Las Piñas,-,1,-,20,,,,,,,,,,,,,,,,,,,,
137602000,City of Makati,-,1,-,33,,,,,,,,,,,,,,,,,,,,
137603000,City of Muntinlupa,-,1,-,9,,,,,,,,,,,,,,,,,,,,
137604000,City of Parañaque,-,1,-,16,,,,,,,,,,,,,,,,,,,,
137605000,Pasay City,-,1,-,201,,,,,,,,,,,,,,,,,,,,
137606000,Pateros,-,-,1,10,,,,,,,,,,,,,,,,,,,,
137607000,City of Taguig,-,1,-,28,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
140000000,CORDILLERA ADMINISTRATIVE,6,2,75,"1,178",,,,,,,,,,,,,,,,,,,,
,REGION  (CAR),,,,,,,,,,,,,,,,,,,,,,,,
140100000,Abra,,-,27,303,,,,,,,,,,,,,,,,,,,,
148100000,Apayao,,-,7,133,,,,,,,,,,,,,,,,,,,,
141100000,Benguet,,-,13,140,,,,,,,,,,,,,,,,,,,,
141102000,Baguio City,,1,-,129,,,,,,,,,,,,,,,,,,,,
142700000,Ifugao,,-,11,176,,,,,,,,,,,,,,,,,,,,
143200000,Kalinga,,1,7,153,,,,,,,,,,,,,,,,,,,,
144400000,Mountain Province,,-,10,144,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
010000000,Region I  (ILOCOS REGION),4,9,116,"3,267",,,,,,,,,,,,,,,,,,,,
012800000,Ilocos Norte,,2,21,559,,,,,,,,,,,,,,,,,,,,
012900000,Ilocos Sur,,2,32,768,,,,,,,,,,,,,,,,,,,,
013300000,La Union,,1,19,576,,,,,,,,,,,,,,,,,,,,
015500000,Pangasinan,,4,44,1364,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
