unit_code,related_unit_code,related_occupation_title
1211,2411,Financial controller
1211,1346,Financial institution branch manager
1211,2411,Management accountant
1312,6221,Fish farmer
1312,6222,Coastal waters fishing vessel skipper
1312,6223,Deep sea fishing master
1312,6221,Fish hatchery manager
1312,6224,Oyster farmer
1312,6221,Seafood farmer
1322,3121,Mine deputy
1322,3121,Mine supervisor
1322,3121,Mine under-manager
1322,3121,Quarry supervisor
1323,3123,Building construction supervisor
1323,7111,House builder
1346,3312,Credit and loans officer
1346,1211,Finance manager
1346,3321,Insurance agent
1420,1221,Sales manager
1420,5223,Shop sales assistant
1420,5222,Shop supervisor
1420,5221,Shopkeeper
1431,1349,Art gallery manager
1431,1349,Library manager
1431,1349,Museum manager
2111,2212,Nuclear medicine specialist physician
2111,3211,Radiographer
2111,2212,Radiologist
2113,2131,Biochemist
2113,2262,Pharmacist
2113,2131,Pharmacologist
2121,3314,Mathematical assistant
2121,2122,Mathematical statistician
2123,3314,Actuarial assistant
2123,4312,Actuarial clerk
2133,2143,Environmental engineer
2133,2263,Environmental health officer
2142,1323,Civil engineering project manager
2142,2114,Geoscientist
2142,2146,Metallurgist
2142,2146,Mining engineer
2142,2164,Town and traffic planners
2146,2114,Geologist
2146,2114,Geophysicist
2151,2153,Broadcast Engineer
2151,2152,Electronics engineer
2151,2149,Nuclear power generation engineer
2151,2153,Telecommunications Engineer
2161,3432,Interior decorator
2161,3432,Interior designer
2161,2162,Landscape architect
2162,2161,Building architect
2162,2164,Urban planner
2163,2144,Engine designer
2163,3432,Interior designer
2165,3112,Building surveyor
2165,3115,Marine surveyor
2165,2149,Quantity surveyor
2166,2161,Interior architect
2166,3432,Interior designer
2166,2513,Multimedia developer
2166,2651,Visual artist
2166,2513,Web developer
2211,2240,Clinical officer
2211,2212,Internal medicine physician
2211,2212,Psychiatrist
2211,2212,Surgeon
2212,2131,Biomedical researcher
2212,2634,Clinical psychologist
2212,2261,Dental practitioner
2212,2261,Dental surgeon
2212,2211,General practitioner
2212,2261,Oral and maxillofacial surgeon
2212,2211,Resident medical officer specializing in general practitioner
2221,3222,Associate professional midwife
2221,3221,Associate professional nurse
2221,5321,Clinic or hospital nursing aide
2221,2240,Paramedical practitioner
2221,2222,Professional midwife
2222,3222,Associate professional midwife
2222,3221,Associate professional nurse
