code,title,unit_code
111101,City/Municipal Councilor,1111
111102,Congressman,1111
111103,Member of the Barangay Council (Sangguniang Pambarangay),1111
111104,Member of the Provincial Board (Sangguniang Panlalawigan),1111
111105,Senator,1111
111201,Administrator/Deputy administrator,1112
111202,Ambassador,1112
111203,Attaché,1112
111204,City administrator,1112
111205,Consul General,1112
111206,Director general/Deputy director general/ Assistant director general,1112
111207,Executive director/Deputy executive director,1112
111208,Government chief of staff,1112
111209,Government civil registrar,1112
111210,Government commission chairperson,1112
111211,Government director/assistant director,1112
111212,Governor/Deputy governor of the Bangko Sentral ng Pilipinas,1112
111213,Governor/Vice governor,1112
111214,Mayor/Vice mayor,1112
111215,National treasurer,1112
111216,Ombudsman,1112
111217,Police inspector-general,1112
111218,Postmaster general,1112
111219,President/Vice president of the Republic of the Philippines,1112
111220,Solicitor general/Associate solicitor general,1112
111301,Barangay Chairperson/Captain,1113
111302,Barangay Kagawad,1113
111303,Sangguniang Kabataan (SK) Chairperson,1113
111304,Tribe Chieftain/Head,1113
111401,Economic-interest organization senior official,1114
111402,Employers' organization director-general,1114
111403,Employers' organization president,1114
111404,Employers' organization secretary-general,1114
111405,Employers' organization senior official,1114
111406,Humanitarian organization senior official,1114
111407,Labor organization senior official,1114
111408,Political party leader,1114
111409,Political party senior official,1114
111410,Special-interest organization senior official,1114
111411,Trade union chairperson,1114
111412,Trade union president,1114
111413,Trade union secretary-general,1114
111414,Trade union senior official,1114
112001,Chief executive officer,1120
112002,Chief operation officer,1120
112003,Corporate director,1120
112004,Corporation chief executive,1120
112005,Managing director,1120
112006,Regional manager,1120
112007,University chancellor,1120
121101,Accounting manager,1211
121102,Administration manager,1211
121103,Budgeting manager,1211
121104,Company secretary,1211
121105,Compensation manager,1211
121106,Finance comptroller,1211
121107,Finance manager,1211
121108,Investment manager,1211
121201,Assistant training manager,1212
121202,Benefits/Rewards manager,1212
121203,Employee welfare manager,1212
121204,Industrial relations manager,1212
121205,Labor relations manager,1212
121206,Learning and development manager,1212
121207,Personnel/human resource manager,1212
121208,Recruitment manager,1212
121209,Training manager,1212
121301,Corporate compliance manager,1213
121302,Corporate planning manager,1213
121303,Corporate quality assurance manager,1213
121304,Corporate services manager,1213
121305,Policy manager,1213
121306,Strategic planning manager,1213
121901,Administrative services manager,1219
121902,Business services manager,1219
121903,Charging facility manager,1219
121904,Cleaning manager,1219
121905,Cleaning services manager,1219
121906,Cleaning services managing-proprietor,1219
121907,Corporate Service Manager,1219
121908,Facilities manager,1219
121909,Personal care manager,1219
121910,Personal care services managing-proprietor,1219
121911,Safety manager,1219
121912,Utility manager,1219
122101,Consumer credit manager,1221
122102,Customer services manager,1221
122103,Marketing director,1221
122104,Marketing manager,1221
122105,Sales director,1221
122106,Sales manager,1221
122107,Store manager,1221
122108,Telemarketing manager,1221
122201,Advertisement and promo assistant manager,1222
122202,Advertising  manager,1222
122203,Advertising director,1222
122204,Circulation manager,1222
122205,Communication development manager,1222
122206,Promotions department manager,1222
122207,Public relations manager,1222
122301,Product development manager,1223
122302,Research and development manager,1223
122303,Research manager,1223
122304,Research project manager,1223
131101,Agricultural farm manager/overseers,1311
131102,Agricultural general manager,1311
131103,Agricultural production and operations manager,1311
131104,Chicken farm operations manager,1311
131105,Forestry general manager,1311
131106,Game fowl farm operations manager,1311
131107,Livestock farm operations manager,1311
131108,Plantation manager,1311
131109,Poultry farm operations manager,1311
131110,Ranch manager,1311
131201,Aquaculture production manager,1312
131202,Fishing general manager,1312
131203,Fishing operations manager,1312
131204,Fishing shore captain,1312
131205,Trawler manager,1312
132101,Food production managers,1321
132102,Manufacturer,1321
132103,Manufacturing general manager,1321
132104,Manufacturing manager,1321
132105,Production and operations / manufacturing manager,1321
132201,Mine manager,1322
132202,Mining equipment manager,1322
132203,Mining production manager,1322
132204,Oil and gas exploration manager,1322
132205,Oil and gas extraction production manager,1322
132206,Quarry manager,1322
132207,Quarry production manager,1322
132301,Civil engineering project manager,1323
132302,Construction manager,1323
132303,Construction project manager,1323
132304,Construction site manager,1323
132305,Demolition manager,1323
132306,Project builder,1323
132401,Assistant shipping manager,1324
132402,Bus Station Manager,1324
132403,Distribution manager,1324
132404,Electric vehicle fleet manager,1324
132405,Freight forwarding manager,1324
132406,Imports and exports manager,1324
132407,Logistics manager,1324
132408,Material resources manager,1324
132409,Port captain,1324
132410,Public Utility Vehicle (PUV) operations manager,1324
132411,Purchasing manager,1324
132412,Railway station manager,1324
132413,Railway station master,1324
132414,Shipping manager,1324
132415,Supply chain manager,1324
132416,Supply manager,1324
132417,Transport general manager,1324
132418,Transport network vehicle service (TNVS) vehicle manager,1324
132419,Transport operations manager,1324
132420,Truck-for-hire operations manager,1324
132421,Warehouse manager,1324
133001,Application development manager,1330
133002,Chief information officer,1330
133003,Data operations manager,1330
133004,Data processing manager,1330
133005,Electronic data processing (EDP) manager,1330
133006,ICT development manager,1330
133007,Information and communication technology manager,1330
133008,Information systems director,1330
133009,Information technology manager,1330
133010,Internet service provider manager,1330
133011,Management information system (MIS) manager,1330
133012,Network manager,1330
133013,Telecommunications services manager,1330
134201,Chief public health officer,1342
134202,Clinical director,1342
134203,Community health care coordinator,1342
134204,Director of nursing,1342
134205,Health facility administrator,1342
134206,Hospital matron,1342
134207,Medical administrator,1342
134301,Aged care home director,1343
134302,Community aged care coordinator,1343
134303,Nursing home director,1343
134304,Retirement village coordinator,1343
134401,Community center manager,1344
134402,Family services manager,1344
134403,Housing services manager,1344
134404,Welfare center manager,1344
134501,Assistant principal,1345
134502,Chief education supervisor,1345
134503,City school superintendent,1345
134504,College administrator,1345
134505,College dean,1345
134506,College director,1345
134507,Division school superintendent,1345
134508,Head teacher,1345
134509,Public school district supervisor,1345
134510,School administrator,1345
134511,School president,1345
134512,School principal,1345
134513,School supervisor,1345
134514,Universities and Colleges president,1345
134601,Bank manager,1346
134602,Credit union manager,1346
134603,Financial Institution branch manager,1346
134604,Insurance agency branch manager,1346
134605,Insurance area manager,1346
134606,Insurance underwriting and claims branch manager,1346
134607,Money changing branch manager,1346
134901,Archives manager,1349
134902,Art gallery manager,1349
134903,Correctional services manager,1349
134904,Legal service manager,1349
134905,Library manager,1349
134906,Museum manager,1349
134907,Police superintendent,1349
134908,Prison governor,1349
141101,Hotel manager,1411
141102,Hostel manager,1411
141103,Motel manager,1411
141201,Café manager,1412
141202,Catering services manager,1412
141203,Restaurant manager,1412
142001,Commissary manager,1420
142002,Grocery manager,1420
142003,Retail trade manager,1420
142004,Shop manager,1420
142005,Specialized store manager,1420
142006,Supermarket manager,1420
142007,Wholesale trade manager,1420
143101,Amusement and theme park manager,1431
143102,Billiards or pool hall manager,1431
143103,Casino manager,1431
143104,Cinema manager,1431
143105,Concert hall manager,1431
143106,Dance studio manager,1431
143107,Funfair (peryahan) operations manager,1431
143108,Leisure center manager,1431
143109,Lottery outlet manager,1431
143110,Riding school manager,1431
143111,Sports center manager,1431
143112,Theater hall manager,1431
143113,Theme park manager,1431
143901,Auto repair shop manager,1439
143902,Barbershop manager,1439
143903,Beauty parlor/salon manager,1439
143904,Camp site manager,1439
143905,Caravan park manager,1439
143906,Computer repair shop manager,1439
143907,Computer/internet shop manager,1439
143908,Conference center manager,1439
143909,Contact center manager,1439
143910,Laundry shop manager,1439
143911,Shopping center manager,1439
143912,Spa and wellness center manager,1439
143913,Travel agency manager,1439
211101,Astronomer,2111
211102,Astronomical scientist,2111
211103,Medical physicist,2111
211104,Nuclear physicist,2111
211105,Physicist,2111
211201,Climatologist,2112
211202,Hydrometeorologist,2112
211203,Meteorological scientist,2112
211204,Meteorologist,2112
211205,Weather forecaster,2112
211301,Analytical chemist,2113
211302,Application chemist,2113
211303,Chemists,2113
211304,Food chemist,2113
211305,Forensic chemist,2113
211306,Laboratory chemist,2113
211307,Pharmaceutical chemist,2113
211308,Physical chemist,2113
211309,Quality control chemist,2113
211310,Research and development chemist,2113
211401,Geological oceanographer,2114
211402,Geological engineer,2114
211403,Geologist,2114
211404,Geophysical oceanographer,2114
211405,Geophysical scientist,2114
211406,Geophysicist,2114
211407,Geothermal engineer,2114
211408,Hydrogeologist,2114
211409,Hydrographer,2114
211410,Hydrologist,2114
211411,Mineral analyst,2114
211412,Mineralogist,2114
211413,Petrologist,2114
211414,Seismologist,2114
211415,Volcanologist,2114
212101,Mathematician,2121
212102,Operations research analyst,2121
212201,Biometrician,2122
212202,Demographer,2122
212203,Statistician,2122
212301,Actuarial analyst,2123
212302,Actuarial consultant,2123
212303,Actuarial researcher,2123
212304,Actuarial specialist,2123
212305,Insurance actuary,2123
212401,Big data research scientist,2124
212402,Data science specialist,2124
212403,Data scientist,2124
212404,Predictive analytics specialists,2124
213101,Aquatic biologist,2131
213102,Bacteriologist,2131
213103,Biochemist,2131
213104,Biochemistry Technologist,2131
213105,Bioinformatics specialist,2131
213106,Biologist,2131
213107,Biomedical Officer,2131
213108,Biomedical researcher,2131
